time,coin,dir,px,sz,ntl,fee,closedPnl
13/12/2024 - 19:20:28,SOL,Open Long,222.69,8.96,1995.3024000000003,0.698355,-0.698355
14/12/2024 - 12:34:21,SOL,Close Long,222.69,8.96,1995.3024000000003,0.698355,-0.698355
14/12/2024 - 19:22:19,SOL,Open Long,217.32959551,8.9,1934.233400039,0.676981,-0.676981
15/12/2024 - 07:26:33,SOL,Close Long,217.65,8.9,1937.085,0.677979,2.174471
20/12/2024 - 02:58:56,SOL,Open Long,198.21,10,1982.1000000000001,0.693735,-0.693735
20/12/2024 - 05:49:35,SOL,Market Order Liquidation: Close Long,193.11048,10,1931.1048,0.675886,-51.671085999999995
20/12/2024 - 17:32:00,HYPE,Open Long,30.583,65,1987.895,0.695763,-0.695763
20/12/2024 - 17:52:03,HYPE,Open Long,30.247,2,60.494,0.021172,-0.021172
20/12/2024 - 17:52:21,HYPE,Open Long,30.275,3,90.82499999999999,0.031788,-0.031788
20/12/2024 - 17:52:35,HYPE,Open Long,30.25231,30,907.5693,0.317649,-0.317649
20/12/2024 - 21:31:23,HYPE,Open Long,29.5138702,50,1475.69351,0.516491,-0.516491
20/12/2024 - 21:31:33,HYPE,Open Long,29.47,40,1178.8,0.41258,-0.41258
20/12/2024 - 21:31:55,HYPE,Open Long,29.555808,5,147.77904,0.051721,-0.051721
20/12/2024 - 21:32:06,HYPE,Open Long,29.51,1,29.51,0.010328,-0.010328
20/12/2024 - 21:32:11,HYPE,Open Long,29.559,1,29.559,0.010345,-0.010345
20/12/2024 - 22:29:19,HYPE,Close Long,30.519,7,213.63299999999998,0.074771,3.625429
21/12/2024 - 00:48:35,HYPE,Open Long,29.32976,4,117.31904,0.041061,-0.041061
21/12/2024 - 00:48:45,HYPE,Open Long,29.325,0.81,23.75325,0.008313,-0.008313
21/12/2024 - 10:49:11,HYPE,Close Long,32.622,4.81,156.91181999999998,0.054919,12.68148
21/12/2024 - 21:25:52,HYPE,Close Long,34.361,10,343.60999999999996,0.120263,43.748737
21/12/2024 - 22:15:53,HYPE,Open Long,31.843,10,318.43,0.11145,-0.11145
21/12/2024 - 22:16:28,HYPE,Open Long,32.339,10,323.39,0.113186,-0.113186
22/12/2024 - 00:16:10,HYPE,Open Long,32.21085004,81.29,2618.4199997516,0.916445,-0.916445
22/12/2024 - 00:24:21,HYPE,Close Long,32.408,1.29,41.80632,0.014632,2.097098
22/12/2024 - 00:26:26,HYPE,Close Long,32.626,10,326.26,0.114191,18.435809
22/12/2024 - 00:26:35,HYPE,Close Long,32.574,10,325.74,0.114009,17.915991
22/12/2024 - 00:26:38,HYPE,Close Long,32.519766,10,325.19766,0.113819,17.373841000000002
22/12/2024 - 00:41:47,HYPE,Open Long,32.94083827,150,4941.1257405,1.729393,-1.729393
22/12/2024 - 00:48:42,HYPE,Close Long,33.35006245,400,13340.024980000002,4.669008,701.4759720000001
22/12/2024 - 00:49:12,HYPE/USDC,Buy,33.25902436,161.31,5365.013219511599,0.05645848,-1.8777539616485726
22/12/2024 - 00:51:45,HYPE/USDC,Buy,33.23565304,90.04,2992.5381997216004,0.03151391,-1.0473853786937866
22/12/2024 - 00:59:30,HYPE/USDC,Buy,33.41848909,88,2940.82703992,0.03079987,-1.0292851195684183
22/12/2024 - 01:05:48,HYPE/USDC,Buy,33.29096484,149.88,4989.6498102192,0.05245793,-1.7463751032091812
22/12/2024 - 01:12:38,HYPE/USDC,Buy,33.41897651,149,4979.42749999,0.05214993,-1.7427972856681442
22/12/2024 - 01:12:50,HYPE/USDC,Buy,33.486,0.36,12.054959999999998,0.00012599,-0.00421890114
22/12/2024 - 01:18:48,HYPE/USDC,Buy,33.68499305,148.11,4989.084320635501,0.05183847,-1.7461785016726337
22/12/2024 - 01:26:05,HYPE/USDC,Buy,34.53824566,144.47,4989.7403505002,0.05056445,-1.746407395762787
22/12/2024 - 01:31:29,HYPE/USDC,Buy,34.50996499,144.52,4987.3801403548005,0.05058189,-1.745579253028031
22/12/2024 - 01:37:34,HYPE/USDC,Buy,33.68397536,147.72,4975.7968401791995,0.05170196,-1.7415275467037055
22/12/2024 - 01:43:28,HYPE/USDC,Buy,33.35373105,149.73,4994.0541501165,0.05240546,-1.747917618391533
22/12/2024 - 01:50:07,HYPE/USDC,Buy,33.47895732,149.03,4989.3690093996,0.05216037,-1.7462748010254083
22/12/2024 - 01:56:40,HYPE/USDC,Buy,33.05717486,150.92,4988.9888298712,0.05282195,-1.7461444375961772
22/12/2024 - 02:00:40,HYPE/USDC,Buy,33.28201716,149.81,4985.978990739601,0.05243344,-1.7450906498378305
22/12/2024 - 02:06:44,HYPE/USDC,Buy,33.27814643,220.31,7331.5084399933,0.07710847,-2.566026955653262
22/12/2024 - 03:49:17,HYPE/USDC,Sell,34.86423582,42.49,1481.3813799918,0.518481,55.620702
22/12/2024 - 17:11:05,HYPE,Open Long,30.86656475,143.87,4440.7726705825,1.554268,-1.554268
22/12/2024 - 19:33:55,HYPE,Open Long,29.178,9.37,273.39786,0.095689,-0.095689
22/12/2024 - 20:12:18,HYPE,Open Long,28.76228412,58.39,1679.4297697668,0.5878,-0.5878
22/12/2024 - 20:12:41,HYPE,Open Long,29.216,5.31,155.13696,0.054297,-0.054297
22/12/2024 - 20:12:49,HYPE,Open Long,29.47,2.87,84.5789,0.029602,-0.029602
22/12/2024 - 20:12:54,HYPE,Open Long,29.554,1.28,37.829119999999996,0.01324,-0.01324
22/12/2024 - 22:01:40,HYPE,Close Long,27.837,1,27.837,0.009742,-2.3465420000000003
24/12/2024 - 07:00:08,HYPE,Open Long,28.938,21.79,630.5590199999999,0.220695,-0.220695
24/12/2024 - 13:45:25,HYPE,Open Long,29.09952428,15.24,443.4767500272,0.155216,-0.155216
24/12/2024 - 14:07:50,HYPE,Open Long,29.016,11.38,330.20208,0.11557,-0.11557
24/12/2024 - 15:08:44,HYPE,Open Long,29.4,7.11,209.034,0.073161,-0.073161
24/12/2024 - 15:08:48,HYPE,Open Long,29.4030184,12.5,367.53773,0.128637,-0.128637
24/12/2024 - 15:11:36,HYPE,Open Long,29.327,10.82,317.31814,0.111061,-0.111061
24/12/2024 - 15:39:53,HYPE,Close Long,29.936,0.93,27.840480000000003,0.009744,0.020388
24/12/2024 - 15:43:43,HYPE,Close Long,30.176,8,241.408,0.084492,2.094708
24/12/2024 - 16:16:21,HYPE,Open Long,30.02,21.36,641.2271999999999,0.224429,-0.224429
24/12/2024 - 16:16:31,HYPE,Open Long,29.988,0.61,18.29268,0.006402,-0.006402
24/12/2024 - 16:20:18,HYPE,Open Long,30.05682038,14.03,421.6971899314,0.147593,-0.147593
24/12/2024 - 16:41:21,HYPE,Open Long,29.58,2,59.16,0.020706,-0.020706
24/12/2024 - 16:44:31,HYPE,Open Long,29.40678261,8.51,250.2517200111,0.087587,-0.087587
24/12/2024 - 18:09:56,HYPE,Close Long,31.329,36.51,1143.82179,0.400337,51.662923
24/12/2024 - 18:14:43,HYPE,Close Long,31.368,10,313.68,0.109788,14.540212
24/12/2024 - 18:14:55,HYPE,Close Long,31.335,10,313.35,0.109672,14.210328
24/12/2024 - 18:15:28,HYPE,Close Long,31.4,10,314,0.0314,14.938600000000001
24/12/2024 - 18:16:34,HYPE,Close Long,31.5,2.68,84.42,0.008442,4.271518
24/12/2024 - 18:16:34,HYPE,Close Long,31.5,7.32,230.58,0.023058,11.666981999999999
24/12/2024 - 18:19:57,HYPE,Close Long,31.6,10,316,0.0316,16.938399999999998
24/12/2024 - 19:32:28,HYPE,Open Long,30.201,50,1510.05,0.528517,-0.528517
24/12/2024 - 19:49:35,HYPE,Open Long,29.5744412,50,1478.72206,0.517552,-0.517552
24/12/2024 - 21:28:24,HYPE,Close Long,29.9,5.28,157.872,0.015787,-0.008395
24/12/2024 - 21:28:40,HYPE,Close Long,29.9,20,598,0.0598,-0.031799999999999995
24/12/2024 - 21:28:40,HYPE,Close Long,29.9,24.72,739.1279999999999,0.073912,-0.039304000000000006
25/12/2024 - 03:02:46,SUI,Open Short,4.5632,50,228.16,0.079856,-0.079856
25/12/2024 - 03:05:51,SUI,Open Short,4.5763,50,228.815,0.080085,-0.080085
25/12/2024 - 03:06:04,SUI,Close Short,4.5713,100,457.13,0.159995,-0.314995
25/12/2024 - 11:56:08,HYPE,Open Long,28.135,10,281.35,0.098472,-0.098472
25/12/2024 - 11:56:18,HYPE,Open Long,28.104,10,281.03999999999996,0.098364,-0.098364
25/12/2024 - 11:59:50,HYPE,Open Long,28.083,10,280.83,0.09829,-0.09829
25/12/2024 - 12:05:39,HYPE,Open Long,27.709,10,277.09,0.096981,-0.096981
25/12/2024 - 12:09:17,HYPE,Open Long,28.120006,20,562.40012,0.196839,-0.196839
25/12/2024 - 15:16:19,HYPE,Open Long,26.991888,30,809.75664,0.283412,-0.283412
25/12/2024 - 15:16:23,HYPE,Open Long,26.985,10,269.85,0.094447,-0.094447
25/12/2024 - 22:19:36,HYPE,Open Long,26.852,10,268.52,0.093982,-0.093982
25/12/2024 - 22:20:42,HYPE,Open Long,26.762,10,267.62,0.093667,-0.093667
26/12/2024 - 11:05:43,HYPE,Open Long,25.56,10,255.6,0.08946,-0.08946
26/12/2024 - 11:05:55,HYPE,Open Long,25.559,9.93,253.80087,0.08883,-0.08883
26/12/2024 - 11:11:05,HYPE,Open Long,25.764,1.03,26.53692,0.009287,-0.009287
26/12/2024 - 11:11:15,HYPE,Open Long,25.776,1.04,26.80704,0.009382,-0.009382
26/12/2024 - 11:11:30,HYPE,Open Long,25.79,3,77.37,0.027079,-0.027079
26/12/2024 - 11:11:46,HYPE,Open Long,25.79,1,25.79,0.009026,-0.009026
26/12/2024 - 11:11:50,HYPE,Open Long,25.78,1,25.78,0.009023,-0.009023
26/12/2024 - 11:23:44,HYPE,Open Long,25.925,3,77.775,0.027221,-0.027221
27/12/2024 - 00:29:58,HYPE,Open Long,27.392,50,1369.6,0.47936,-0.47936
29/12/2024 - 18:18:08,HYPE/USDC,Sell,26.8392179,200,5367.843580000001,1.878744,-1342.635762
29/12/2024 - 18:18:23,VAPOR/USDC,Buy,0.081625,65739,5365.945875,23.00862,-1.8780786075000002
29/12/2024 - 21:30:53,HYPE,Open Long,27.31457167,30,819.4371500999999,0.286802,-0.286802
29/12/2024 - 21:31:01,HYPE,Open Long,27.311,10,273.11,0.095588,-0.095588
30/12/2024 - 01:05:01,VAPOR/USDC,Sell,0.09338,65715,6136.4667,2.147763,768.4540119999999
30/12/2024 - 01:06:59,HYPE/USDC,Buy,27.4054364,200,5481.08728,0.06999993,-1.918378629619452
30/12/2024 - 01:07:26,HYPE/USDC,Buy,27.407,1,27.407,0.00034998,-0.00959190186
30/12/2024 - 01:07:58,HYPE/USDC,Sell,27.394,0.93,25.47642,0.008916,-5.155206
30/12/2024 - 01:09:25,HYPE,Open Long,27.44797483,60,1646.8784898,0.576406,-0.576406
31/12/2024 - 17:44:04,HYPE,Close Long,25.40894534,500,12704.47267,4.44656,-1588.72389
31/12/2024 - 17:44:54,HYPE/USDC,Sell,25.47675872,500,12738.379359999999,4.458429,-3729.9019369999996
31/12/2024 - 17:45:36,HYPE,Open Long,25.56909914,1000,25569.09914,8.949181,-8.949181
01/01/2025 - 15:15:39,HYPE,Open Long,24.5106871,100,2451.06871,0.857872,-0.857872
01/01/2025 - 20:59:21,HYPE,Close Long,26.29,200,5258,0.525799,111.154201
02/01/2025 - 02:10:22,HYPE,Close Long,26.52035878,500,13260.17939,4.641059,389.738331
02/01/2025 - 02:10:54,HYPE/USDC,Buy,26.50457568,500,13252.287839999999,0.17499994,-4.638299153725459
02/01/2025 - 02:11:10,HYPE/USDC,Buy,26.44,1,26.44,0.00035,-0.009254
02/01/2025 - 13:21:27,HYPE,Open Long,24.7361394,100,2473.6139399999997,0.865761,-0.865761
02/01/2025 - 18:49:27,HYPE/USDC,Sell,23.51317754,500,11756.58877,4.114788,-3908.619467
02/01/2025 - 18:49:56,HYPE,Open Long,23.58357502,1000,23583.57502,8.254245,-8.254245
02/01/2025 - 21:26:28,HYPE,Open Long,22.8424245,100,2284.24245,0.799483,-0.799483
02/01/2025 - 22:15:58,HYPE,Open Long,23.24,100,2324,0.8134,-0.8134
02/01/2025 - 22:16:09,HYPE,Open Long,23.25334065,200,4650.66813,1.627729,-1.627729
03/01/2025 - 08:00:16,HYPE,Close Long,22.08302508,500,11041.51254,3.864528,-1007.8019879999999
03/01/2025 - 08:00:32,HYPE/USDC,Sell,22.11740805,1500,33176.112075000005,11.611637,-13818.779968
03/01/2025 - 08:00:57,HYPE,Open Long,22.13552385,1000,22135.523849999998,7.747427,-7.747427
03/01/2025 - 08:01:37,HYPE/USDC,Sell,22.11,0.82,18.1302,0.006345,-7.560338
03/01/2025 - 08:11:52,HYPE,Open Long,21.9252,100,2192.52,0.767381,-0.767381
03/01/2025 - 08:12:32,HYPE,Open Long,21.8999079,100,2189.99079,0.766494,-0.766494
03/01/2025 - 08:12:36,HYPE,Open Long,21.8997724,100,2189.97724,0.766491,-0.766491
03/01/2025 - 08:12:39,HYPE,Open Long,21.899353,100,2189.9353,0.766475,-0.766475
03/01/2025 - 08:12:42,HYPE,Open Long,21.8944089,100,2189.44089,0.766302,-0.766302
03/01/2025 - 11:41:59,HYPE,Close Long,23.45226738,500,11726.133689999999,4.104139,184.729551
03/01/2025 - 19:41:30,SUI,Open Short,4.802,100,480.19999999999993,0.16807,-0.16807
03/01/2025 - 22:21:39,SUI,Open Short,4.8883,100,488.83,0.17109,-0.17109
04/01/2025 - 02:32:57,HYPE,Close Long,24.12186996,500,12060.93498,4.221323,519.4136570000001
04/01/2025 - 02:33:44,HYPE/USDC,Buy,24.12943265,828.86,19999.921546278998,0.29010071,-6.999965543662181
04/01/2025 - 02:34:07,HYPE,Close Long,24.11072556,1000,24110.72556,8.438745,1027.686815
04/01/2025 - 02:35:32,HYPE/USDC,Buy,24.07781785,1000,24077.81785,0.34999949,-8.427223967812896
04/01/2025 - 02:36:01,HYPE,Close Long,24.0457589,500,12022.87945,4.207998,481.37145200000003
04/01/2025 - 02:36:22,HYPE,Close Long,24.05161826,172,4136.87834072,1.447903,166.59923700000002
04/01/2025 - 02:36:51,HYPE/USDC,Sell,24.04575163,172,4135.869280360001,1.447552,-12.44406
04/01/2025 - 02:36:57,HYPE/USDC,Buy,24.06646174,172,4139.43141928,0.06019976,-1.4487952207971824
04/01/2025 - 02:36:59,HYPE/USDC,Buy,24.071,172,4140.212,0.06019999,-1.4490739592900002
04/01/2025 - 02:37:26,SUI,Close Short,4.8996,200,979.9200000000001,0.342972,-11.232972
04/01/2025 - 02:38:33,HYPE,Open Long,24.094,172,4144.168000000001,1.450458,-1.450458
04/01/2025 - 02:40:13,HYPE,Open Long,24.094,100,2409.4,0.84329,-0.84329
04/01/2025 - 22:02:46,HYPE,Open Long,24.9669923,100,2496.69923,0.873841,-0.873841
08/01/2025 - 17:25:09,HYPE/USDC,Sell,20.10181774,500,10050.908870000001,3.517812,-2004.655166
08/01/2025 - 17:25:27,HYPE,Open Long,20.29042471,1000,20290.42471,7.101646,-7.101646
08/01/2025 - 17:54:41,HYPE,Close Long,21.80066015,281.51,6137.1038388265,2.147985,23.035943000000003
08/01/2025 - 17:54:41,HYPE,Close Long,21.8,89.52,1951.536,0.195153,7.754223
08/01/2025 - 17:54:42,HYPE,Close Long,21.8,5,109,0.0109,0.4331
08/01/2025 - 17:54:42,HYPE,Close Long,21.8,123.97,2702.5460000000003,0.270253,10.738283
09/01/2025 - 05:17:21,HYPE,Close Long,21.30087456,500,10650.43728,3.727651,-208.89037100000002
09/01/2025 - 05:17:33,HYPE/USDC,Sell,21.3262765,1500.1,31991.547377649997,11.197036,-4178.198743
09/01/2025 - 05:18:00,HYPE,Open Long,21.24920138,2300,48873.163173999994,17.105591,-17.105591
09/01/2025 - 13:36:51,HYPE,Open Long,19.506,100,1950.6,0.68271,-0.68271
09/01/2025 - 13:53:08,HYPE,Open Long (Price Improved),19,100,1900,0.19,-0.19
10/01/2025 - 13:39:33,HYPE,Open Long,20.165,10,201.64999999999998,0.070577,-0.070577
10/01/2025 - 13:39:47,HYPE,Open Long,20.08067022,90,1807.2603198,0.632541,-0.632541
10/01/2025 - 22:09:44,HYPE/USDC,Buy,21.03387598,500,10516.93799,0.17499981,-3.6809243000635643
10/01/2025 - 22:10:36,HYPE,Close Long,21.06955348,500,10534.77674,3.687166,-64.410426
10/01/2025 - 22:11:42,HYPE/USDC,Buy,21.06608228,501,10554.10722228,0.17534979,-3.6939331039207213
10/01/2025 - 22:12:49,HYPE,Close Long,21.07794332,500,10538.97166,3.688634,-60.216974
10/01/2025 - 22:14:06,HYPE/USDC,Buy,21.07443622,400,8429.774488,0.13999982,-2.9504172774014803
10/01/2025 - 22:14:23,HYPE,Close Long,21.07981653,400,8431.926612,2.951171,-47.424561000000004
10/01/2025 - 22:15:34,HYPE/USDC,Buy,21.0597163,100,2105.97163,0.03499983,-0.7370864903482292
10/01/2025 - 22:16:07,HYPE,Close Long,21.0861842,100,2108.6184200000002,0.738015,-11.219595
13/01/2025 - 01:52:52,HYPE,Open Long,22.388,100,2238.8,0.78358,-0.78358
13/01/2025 - 10:43:37,HYPE,Open Long,19.4444463,100,1944.44463,0.680553,-0.680553
13/01/2025 - 22:09:32,HYPE/USDC,Sell,21.8011596,100,2180.1159599999996,0.763039,72.89829499999999
13/01/2025 - 22:10:08,HYPE,Close Long,21.808,100,2180.8,0.76328,63.68672
13/01/2025 - 22:10:35,HYPE/USDC,Buy,21.8531037,100,2185.3103699999997,0.03499991,-0.764856662720667
13/01/2025 - 22:12:22,HYPE/USDC,Sell,21.83,1.44,31.435199999999995,0.011002,1.0148650000000001
13/01/2025 - 22:12:36,HYPE/USDC,Buy,21.848,1,21.848,0.00034996,-0.00764592608
14/01/2025 - 10:41:16,HYPE,Close Long,22.92,0.79,18.106800000000003,0.00181,1.3858249999999999
14/01/2025 - 10:41:18,HYPE,Close Long,22.92,0.76,17.4192,0.001741,1.333199
14/01/2025 - 10:41:19,HYPE,Close Long,22.92,50.58,1159.2936,0.115929,88.72784100000001
14/01/2025 - 10:41:21,HYPE,Close Long,22.92,47.87,1097.1804,0.109717,83.97393799999999
14/01/2025 - 12:47:36,HYPE,Open Long,22.214924,100,2221.4924,0.777522,-0.777522
15/01/2025 - 00:27:28,XRP,Open Short,2.6804,100,268.04,0.093814,-0.093814
15/01/2025 - 01:38:42,XRP,Open Short,2.7684,100,276.84000000000003,0.096894,-0.096894
15/01/2025 - 14:10:22,HYPE,Close Long,24.1,20.51,494.29100000000005,0.049429,59.041931999999996
15/01/2025 - 14:10:22,HYPE,Close Long,24.1,79.49,1915.709,0.19157,228.827069
15/01/2025 - 14:11:44,HYPE/USDC,Buy,23.9761758,100,2397.61758,0.03499994,-0.839164714429452
15/01/2025 - 14:12:02,HYPE/USDC,Buy,23.918,0.5,11.959,0.00017497,-0.00418493246
15/01/2025 - 15:27:55,XRP,Open Short,3,100,300,0.03,-0.03
15/01/2025 - 20:33:34,XRP,Open Short,2.9532,100,295.32,0.103362,-0.103362
15/01/2025 - 22:39:49,XRP,Open Short,3.0723,100,307.22999999999996,0.10753,-0.10753
15/01/2025 - 23:14:20,XRP,Open Short,3.1624,100,316.24,0.110684,-0.110684
15/01/2025 - 23:14:27,XRP,Open Short,3.1659,100,316.59000000000003,0.110806,-0.110806
15/01/2025 - 23:14:37,XRP,Open Short,3.1887,100,318.87,0.111604,-0.111604
15/01/2025 - 23:14:56,XRP,Open Short,3.1827,100,318.27,0.111394,-0.111394
15/01/2025 - 23:15:34,XRP,Open Short,3.19,5,15.95,0.001595,-0.001595
15/01/2025 - 23:15:36,XRP,Open Short,3.19,95,303.05,0.030305,-0.030305
15/01/2025 - 23:16:41,XRP,Open Short,3.1927,100,319.27,0.111744,-0.111744
15/01/2025 - 23:17:04,XRP,Open Short (Price Improved),3.2,100,320,0.032,-0.032
16/01/2025 - 00:42:11,XRP,Close Short,2.9593,200,591.86,0.207151,20.544449
16/01/2025 - 00:42:24,XRP,Close Short,2.9592,500,1479.6000000000001,0.51786,51.41114
16/01/2025 - 00:42:42,XRP,Close Short,2.9572,500,1478.6,0.51751,52.41149
16/01/2025 - 00:54:17,XRP,Open Short,3,100,300,0.03,-0.03
16/01/2025 - 01:25:24,XRP,Open Short,3.033,100,303.3,0.106155,-0.106155
16/01/2025 - 11:33:21,XRP,Open Short,3.2,100,320,0.032,-0.032
16/01/2025 - 12:48:41,XRP,Open Short,3.2904,100,329.04,0.115164,-0.115164
